Order,Latitude,Longitude,Elevation,Date Created,Distance from Start,Distance from Last,Bearing,Speed
62,33.7815488,-84.3913344,301.00,11/28/2012 09:48:42 AM,0.910,0.03,276.00,25.66
63,33.7815232,-84.3910912,301.00,11/28/2012 09:48:46 AM,0.933,0.024,270.00,12.77
64,33.7815296,-84.3910080,301.00,11/28/2012 09:48:50 AM,0.942,0.008,220.00,6.66
65,33.7815168,-84.3909696,301.00,11/28/2012 09:48:54 AM,0.946,0.004,270.00,2.13
66,33.7816544,-84.3909312,304.00,11/28/2012 09:49:10 AM,0.963,0.018,0.00,2.56
67,33.7815712,-84.3907072,304.00,11/28/2012 09:49:14 AM,0.987,0.024,276.00,36.38
68,33.7815040,-84.3903296,305.00,11/28/2012 09:49:18 AM,1.023,0.036,279.00,38.83
69,33.7815104,-84.3898688,305.00,11/28/2012 09:49:22 AM,1.066,0.044,270.00,38.30
70,33.7815136,-84.3893888,305.00,11/28/2012 09:49:26 AM,1.110,0.045,270.00,38.30
71,33.7815040,-84.3889664,305.00,11/28/2012 09:49:30 AM,1.149,0.039,275.00,32.02
72,33.7815104,-84.3887168,306.00,11/28/2012 09:49:34 AM,1.172,0.023,270.00,14.90
73,33.7815168,-84.3886400,306.00,11/28/2012 09:49:38 AM,1.179,0.008,270.00,2.13
74,33.7815296,-84.3885952,306.00,11/28/2012 09:49:42 AM,1.184,0.005,253.00,8.89
75,33.7815424,-84.3885376,307.00,11/28/2012 09:49:46 AM,1.190,0.006,270.00,4.26
76,33.7815520,-84.3884736,307.00,11/28/2012 09:49:50 AM,1.196,0.005,261.00,8.61
77,33.7815712,-84.3882496,307.00,11/28/2012 09:49:54 AM,1.217,0.021,270.00,23.41
78,33.7815616,-84.3880000,306.00,11/28/2012 09:49:58 AM,1.240,0.024,259.00,13.02
79,33.7816960,-84.3879232,308.00,11/28/2012 09:50:02 AM,1.257,0.017,190.00,11.72
80,33.7818400,-84.3879616,309.00,11/28/2012 09:50:06 AM,1.274,0.018,180.00,16.64
81,33.7822784,-84.3879296,311.00,11/28/2012 09:50:10 AM,1.323,0.049,190.00,35.15
82,33.7826208,-84.3879232,311.00,11/28/2012 09:50:14 AM,1.361,0.037,185.00,26.97
83,33.7827808,-84.3879552,311.00,11/28/2012 09:50:18 AM,1.379,0.019,171.00,14.24
84,33.7829120,-84.3879616,312.00,11/28/2012 09:50:22 AM,1.394,0.015,180.00,15.36
85,33.7829888,-84.3879552,310.00,11/28/2012 09:50:26 AM,1.402,0.009,180.00,2.56
86,33.7831168,-84.3879552,306.00,11/28/2012 09:50:51 AM,1.416,0.014,180.00,12.80
87,33.7833632,-84.3879616,306.00,11/28/2012 09:50:55 AM,1.444,0.029,176.00,30.80
88,33.7837728,-84.3879488,305.00,11/28/2012 09:50:59 AM,1.490,0.046,183.00,42.30
89,33.7841760,-84.3879104,305.00,11/28/2012 09:51:03 AM,1.534,0.045,183.00,38.46
90,33.7845184,-84.3879232,304.00,11/28/2012 09:51:07 AM,1.573,0.039,191.00,32.63
91,33.7848960,-84.3879168,304.00,11/28/2012 09:51:11 AM,1.615,0.042,180.00,42.24
92,33.7853504,-84.3878848,303.00,11/28/2012 09:51:15 AM,1.666,0.05,180.00,34.56
93,33.7856896,-84.3878784,302.00,11/28/2012 09:51:19 AM,1.703,0.037,180.00,33.28
94,33.7860032,-84.3878464,301.00,11/28/2012 09:51:23 AM,1.738,0.035,185.00,25.69
95,33.7863424,-84.3878272,300.00,11/28/2012 09:51:27 AM,1.776,0.039,183.00,38.46
96,33.7867168,-84.3878400,300.00,11/28/2012 09:51:31 AM,1.818,0.042,177.00,38.46
97,33.7870752,-84.3878400,300.00,11/28/2012 09:51:35 AM,1.858,0.04,180.00,38.40
98,33.7873920,-84.3878080,300.00,11/28/2012 09:51:39 AM,1.893,0.036,180.00,32.00
99,33.7876192,-84.3878528,298.00,11/28/2012 09:51:43 AM,1.919,0.026,180.00,17.92
100,33.7877760,-84.3878720,295.00,11/28/2012 09:51:47 AM,1.936,0.017,170.00,11.72
101,33.7878432,-84.3879040,294.00,11/28/2012 09:51:51 AM,1.945,0.009,132.00,5.73
102,33.7879136,-84.3879168,295.00,11/28/2012 09:52:01 AM,1.953,0.008,180.00,10.24
103,33.7881056,-84.3879104,295.00,11/28/2012 09:52:05 AM,1.974,0.021,180.00,23.04
104,33.7884224,-84.3879040,294.00,11/28/2012 09:52:09 AM,2.010,0.036,180.00,32.00
105,33.7887200,-84.3878656,293.00,11/28/2012 09:52:13 AM,2.043,0.033,188.00,29.75
106,33.7889440,-84.3878080,293.00,11/28/2012 09:52:17 AM,2.069,0.026,209.00,17.56
107,33.7891680,-84.3877696,294.00,11/28/2012 09:52:21 AM,2.094,0.025,180.00,19.20
108,33.7893056,-84.3878016,293.00,11/28/2012 09:52:25 AM,2.110,0.016,171.00,12.98
109,33.7894784,-84.3877952,292.00,11/28/2012 09:52:29 AM,2.129,0.019,175.00,23.14
110,33.7897696,-84.3878464,289.00,11/28/2012 09:52:33 AM,2.162,0.034,177.00,38.46
111,33.7902176,-84.3878720,288.00,11/28/2012 09:52:37 AM,2.212,0.049,180.00,49.92
112,33.7907040,-84.3878912,288.00,11/28/2012 09:52:41 AM,2.266,0.055,175.00,52.66
113,33.7913120,-84.3879296,288.00,11/28/2012 09:52:45 AM,2.334,0.067,180.00,62.73
114,33.7920064,-84.3878912,285.00,11/28/2012 09:52:49 AM,2.411,0.077,183.00,71.81
115,33.7927200,-84.3878784,283.00,11/28/2012 09:52:53 AM,2.490,0.079,180.00,64.01
116,33.7933344,-84.3878400,285.00,11/28/2012 09:52:57 AM,2.559,0.067,182.00,58.92
117,33.7939104,-84.3878272,288.00,11/28/2012 09:53:01 AM,2.623,0.064,180.00,58.88
118,33.7944224,-84.3878656,293.00,11/28/2012 09:53:05 AM,2.680,0.058,165.00,50.29
119,33.7949952,-84.3882112,291.00,11/28/2012 09:53:09 AM,2.752,0.073,141.00,70.90
120,33.7954592,-84.3888192,291.00,11/28/2012 09:53:13 AM,2.829,0.076,125.00,73.03
121,33.7957376,-84.3895744,292.00,11/28/2012 09:53:17 AM,2.906,0.077,105.00,68.35
122,33.7957760,-84.3904512,284.00,11/28/2012 09:53:21 AM,2.987,0.081,89.00,74.48
123,33.7957696,-84.3913216,280.00,11/28/2012 09:53:25 AM,3.067,0.081,91.00,72.35
124,33.7959296,-84.3921536,276.00,11/28/2012 09:53:29 AM,3.147,0.08,116.00,66.45
125,33.7963968,-84.3927680,273.00,11/28/2012 09:53:33 AM,3.226,0.079,156.00,67.38
126,33.7971104,-84.3929856,272.00,11/28/2012 09:53:37 AM,3.309,0.083,175.00,77.07
127,33.7978560,-84.3927232,274.00,11/28/2012 09:53:41 AM,3.397,0.087,214.00,76.86
128,33.7985376,-84.3921728,271.00,11/28/2012 09:53:45 AM,3.489,0.091,218.00,82.88
129,33.7991552,-84.3915456,269.00,11/28/2012 09:53:49 AM,3.579,0.089,226.00,82.87
130,33.7995872,-84.3906944,266.00,11/28/2012 09:53:53 AM,3.671,0.092,240.00,83.77
131,33.8000032,-84.3897792,264.00,11/28/2012 09:53:57 AM,3.767,0.097,242.00,89.34
132,33.8003936,-84.3887936,263.00,11/28/2012 09:54:01 AM,3.868,0.101,245.00,89.50
133,33.8007936,-84.3878336,261.00,11/28/2012 09:54:05 AM,3.967,0.099,243.00,88.15
134,33.8012512,-84.3869184,259.00,11/28/2012 09:54:09 AM,4.066,0.099,236.00,87.17
135,33.8018336,-84.3860800,255.00,11/28/2012 09:54:13 AM,4.167,0.102,226.00,91.90
136,33.8024800,-84.3852864,252.00,11/28/2012 09:54:17 AM,4.270,0.103,225.00,93.70
137,33.8031392,-84.3844928,250.00,11/28/2012 09:54:21 AM,4.373,0.104,225.00,92.80
138,33.8037920,-84.3837056,249.00,11/28/2012 09:54:25 AM,4.476,0.104,226.00,91.90
139,33.8044160,-84.3829504,249.00,11/28/2012 09:54:29 AM,4.574,0.099,224.00,83.18
140,33.8050112,-84.3821952,249.00,11/28/2012 09:54:33 AM,4.670,0.096,228.00,85.97
141,33.8055392,-84.3813568,251.00,11/28/2012 09:54:37 AM,4.768,0.097,236.00,92.13
142,33.8059456,-84.3804160,250.00,11/28/2012 09:54:41 AM,4.866,0.098,245.00,89.50
143,33.8063040,-84.3794432,250.00,11/28/2012 09:54:45 AM,4.964,0.099,246.00,88.43
144,33.8067520,-84.3785088,250.00,11/28/2012 09:54:49 AM,5.064,0.101,237.00,88.94
145,33.8073376,-84.3777216,249.00,11/28/2012 09:54:53 AM,5.161,0.098,227.00,87.71
146,33.8079552,-84.3769920,251.00,11/28/2012 09:54:57 AM,5.258,0.096,224.00,82.26
147,33.8085632,-84.3762688,253.00,11/28/2012 09:55:01 AM,5.353,0.095,224.00,86.50
148,33.8091808,-84.3755392,256.00,11/28/2012 09:55:05 AM,5.449,0.095,225.00,87.98
